publisher_domain,publisher_category,ssp_domain,seller_id,relationship,verified_legal_entity
cnn.com,News & Media,lkqd.net,602,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,eq97f-x7x7v,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,194132,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,9646,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,themediagrid.com,4IPE95,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tritondigital.com,54413,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,876-EB,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,9646-EB,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sovrn.com,367853,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,lijit.com,367853,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,lijit.com,367853-eb,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,wunderkind.co,340,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,100055,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sharethrough.com,5847,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,161163,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,inmobi.com,b4e83026d85c4f5c8e2f64328ec31b9c,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,515123,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,teads.tv,23337,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,59494,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,499607,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,161335,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,richaudience.com,1ru8dKmJJV,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,conversantmedia.com,100195,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,384777,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,themediagrid.com,9UX1JV,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,criteo.com,B-058240,DIRECT,Unlisted / Unknown ID
cnn.com,News & Media,google.com,pub-5028215366626589,RESELLER,DistroScale Inc.
cnn.com,News & Media,aps.amazon.com,510b2083-6681-4521-93bd-7d95b5afa83c,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,59052,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,distroscale.com,1369720403,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,google.com,pub-3851171199385532,RESELLER,"DistroScale, Inc."
cnn.com,News & Media,freewheel.tv,372496,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,dix75-1lxhm,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,dix75-1lxhm,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,dix75-1lxhm,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,dix75-1lxhm,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,vi.ai,649774461155146,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,304237,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,304237,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,59658,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,191231,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,191512,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,197167,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,16578,RESELLER,DistroScale
cnn.com,News & Media,rubiconproject.com,21916,RESELLER,Unlisted / Unknown ID
cnn.com,News & Media,pubmatic.com,158001,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,161299,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,537139075,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,540884769,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,540911068,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,552074241,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,7259,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,11632,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,191701,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,191701-523319,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,59995,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,190500,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,themediagrid.com,N71MIF,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,admanmedia.com,1061,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CU3BYI96,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,162583,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,adform.com,2921,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,499607-523319,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,60105,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,558598331,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,162932,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,202522,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,158370,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,557894883,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,8458,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,17046,RESELLER,"BOW- Business On Web, LLC"
cnn.com,News & Media,yourbow.com,632,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-ubehw,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-ubehw,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,kargo.com,113,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,fabrik.com,52,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,google.com,pub-6358294573682566,RESELLER,Kargo Publishing LLC
cnn.com,News & Media,video.unrulymedia.com,1858504412,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,8173,RESELLER,Not Tracked (Non-Top 3 SSP)
