publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,vidazoo.com,67aa86ac8effa21af881368d,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,amxrtb.com,105199845,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,streamlyn.com,bsrvptr10250,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,aps.amazon.com,95cfe73f-4804-4f94-b2e6-467e2a14e787,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-1714061154748628,RESELLER,Streamlyn Semisoft Private Limited
moneycontrol.com,google.com,pub-8686615022940025,RESELLER,TapMind Technologies Pte Ltd
moneycontrol.com,kickads.mobi,68,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-2915053785761950,RESELLER,Rockolmo LLC
moneycontrol.com,google.com,pub-6254331789601537,RESELLER,HeaderBiddr LLC
moneycontrol.com,rubiconproject.com,24634,DIRECT,TapMind Technologies Private Limited
moneycontrol.com,smartadserver.com,4038,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,teads.tv,26836,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,projectagora.com,109068,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,12065,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,onetag.com,75b1c310c3f34cb,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adtelligent.com,758875,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,nobid.io,22743125224,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,nobid.io,68812,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,headerbiddr.com,278,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,yahoo.com,59885,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,xandr.com,11429,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,xandr.com,12701,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,richaudience.com,MjBECR9bwI,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,streamlyn.com,bsrvptr20308,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,8233,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,81564,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,smilewanted.com,4922,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adagio.io,1237,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,improvedigital.com,1790,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rtbhouse.com,vv4KKYd5YYXDjeqo4VbL,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sovrn.com,402977,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,402977,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,tapmind.com,TMP10119,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,conversantmedia.com,100980,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-1714061154748628,DIRECT,Streamlyn Semisoft Private Limited
moneycontrol.com,google.com,pub-8686615022940025,DIRECT,TapMind Technologies Pte Ltd
moneycontrol.com,pubmatic.com,161944,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,152media.info,152M69,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pixfuture.com,10103,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,23564,RESELLER,PixFuture Media Inc.
moneycontrol.com,missena.com,SID-424516,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adyoulike.com,0fbdac222a23692c19a21e4298e468d9,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,izM1hGJl,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,4038,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,vdo.ai,1715,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,atlas5.co,4566,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,walletcircle.co,4555,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-7094677798399606,RESELLER,Zero1 Inc
moneycontrol.com,google.com,pub-2403018226404213,RESELLER,Ellipsis Limited
moneycontrol.com,adipolo.com,23050223808,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,adipolosolutions.com,23050223808,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pmbmonetize.com,23050223808,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,opamarketplace.com,23050223808,DIRECT,Not Tracked (Non-Top 3 SSP)
